coin,market_class,underlying,period,target_price,market_name,trades,traders,volume,avg_px
#8240,,,,0,,336,23,14219.98667,0.5300101190476191
#8261,,,,0,,312,15,14217.91474,0.7146055128205128
#660,priceBucket,BTC,1d,0,Recurring Fallback,277,5,14176.91656723,0.315884473898917
#1660,priceBucket,BTC,1d,0,Recurring Named Outcome,962,34,14166.87965472,0.12603935182952183
#8001,,,,0,,478,14,14145.21888,0.5388089748953975
#2541,,,,0,,251,26,13990.96855,0.7809476892430278
#960,priceBucket,BTC,1d,0,Recurring Fallback,437,8,13854.5832253,0.31292905926773457
#610,priceBucket,BTC,1d,0,Recurring Fallback,575,7,13771.83323399,0.3163768089391304
#6891,,,,0,,25,11,13723.56154,0.7773348
#5631,,,,0,,86,15,13711.18433,0.7552746511627907
#8701,,,,0,,513,7,13674.97019,0.986844074074074
#7110,,,,0,,58,20,13620.1688265,0.5557768389655172
#4231,,,,0,,140,16,13497.07312,0.4568754285714286
#1350,priceBucket,BTC,1d,0,Recurring Named Outcome,672,32,13454.79842007,0.1741536795982143
#3431,,,,0,,159,16,13433.02744,0.7709917610062893
#5590,,,,0,,107,28,13411.55322609,0.7294842987850467
#7950,,,,0,,215,32,13399.28857,0.6589075348837209
#9761,,,,0,,33,7,13377.23686,0.9653242424242424
#7720,,,,0,,326,26,13316.40762,0.4866692944785276
#9071,,,,0,,273,182,13278.43105,0.8692299267399267
#4681,,,,0,,320,23,13247.66521,0.307382625
#1400,priceBucket,BTC,1d,0,Recurring Named Outcome,844,26,13161.14987114,0.1985434191943128
#8281,,,,0,,116,8,13098.30913,0.8316143965517241
#4781,,,,0,,191,15,13097.7763,0.9179525654450261
#7920,,,,0,,367,38,13041.21234,0.5133926975476839
#3280,,,,0,,470,25,13033.08020373,0.181371190893617
#8380,,,,0,,140,28,13013.32708,0.6644905
#8171,,,,0,,498,20,12989.87222,0.5132073092369478
#2720,,,,0,,394,20,12970.9290635,0.21462008385786802
#4801,,,,0,,110,10,12892.8621,0.9097869090909091
#2680,,,,0,,225,52,12830.78861,0.6674856888888889
#9481,,,,0,,237,20,12828.53483,0.595137805907173
#2240,,,,0,Outcome 224,447,37,12804.53976149,0.31154635284116333
#7651,,,,0,,445,21,12795.52668,0.4538931011235955
#9001,,,,0,,227,29,12757.74697,0.5138278414096916
#4790,,,,0,,260,19,12745.224782,0.8486210255
#9080,,,,0,,275,37,12624.6137,0.3032864
#7001,,,,0,,342,24,12614.78738,0.26931698830409356
#1671,,,,0,Outcome 167,222,21,12599.39731,0.3968327027027027
#7631,,,,0,,183,17,12582.9617,0.5525970491803278
#8061,,,,0,,353,25,12562.4186,0.39649053824362607
#8721,,,,0,,42,9,12556.65197,0.8972609523809523
#7851,,,,0,,143,17,12536.60791,0.8145986013986014
#7231,,,,0,,309,15,12530.82394,0.18820708737864078
#6670,,,,0,,194,17,12522.91062,0.4716022680412371
#6841,,,,0,,328,19,12510.01493,0.3750805487804878
#9711,,,,0,,78,15,12434.5242,0.8313778205128205
#9630,,,,0,,153,23,12420.70026,0.7962194117647059
#6701,,,,0,,162,14,12349.98117,0.9247354938271606
#4110,,,,0,,274,29,12319.72397,0.5663507664233577
#8290,,,,0,,257,28,12292.37733687,0.8592258624902724
#7731,,,,0,,267,19,12280.56484,0.48010876404494385
